date,open,high,low,close,volume,adjusted,symbol,return
1957-12-26,39.919998,39.919998,39.919998,39.919998,2280000,39.919998,sp500,0.010121406882591
1957-12-27,39.779999,39.779999,39.779999,39.779999,2620000,39.779999,sp500,-0.00350698915365688
1957-12-30,39.580002,39.580002,39.580002,39.580002,3750000,39.580002,sp500,-0.00502757679807875
1957-12-31,39.990002,39.990002,39.990002,39.990002,5070000,39.990002,sp500,0.0103587665306333
1958-01-02,40.330002,40.330002,40.330002,40.330002,1800000,40.330002,sp500,0.00850212510617032
1958-01-03,40.869999,40.869999,40.869999,40.869999,2440000,40.869999,sp500,0.0133894612750081
1958-01-06,40.68,40.68,40.68,40.68,2500000,40.68,sp500,-0.00464886235989392
1958-01-07,41,41,41,41,2220000,41,sp500,0.00786627335299905
1958-01-08,40.990002,40.990002,40.990002,40.990002,2230000,40.990002,sp500,-0.00024385365853663
1958-01-09,40.75,40.75,40.75,40.75,2180000,40.75,sp500,-0.00585513511319169
1958-01-10,40.369999,40.369999,40.369999,40.369999,2010000,40.369999,sp500,-0.00932517791411047
1958-01-13,40.490002,40.490002,40.490002,40.490002,1860000,40.490002,sp500,0.00297257872114387
1958-01-14,40.669998,40.669998,40.669998,40.669998,2010000,40.669998,sp500,0.00444544309975581
1958-01-15,40.990002,40.990002,40.990002,40.990002,2080000,40.990002,sp500,0.00786830626350166
1958-01-16,41.060001,41.060001,41.060001,41.060001,3950000,41.060001,sp500,0.00170770911404206
1958-01-17,41.099998,41.099998,41.099998,41.099998,2200000,41.099998,sp500,0.000974111033265723
1958-01-20,41.349998,41.349998,41.349998,41.349998,2310000,41.349998,sp500,0.00608272535682364
1958-01-21,41.299999,41.299999,41.299999,41.299999,2160000,41.299999,sp500,-0.00120916571749286
1958-01-22,41.200001,41.200001,41.200001,41.200001,2390000,41.200001,sp500,-0.00242125913852931
1958-01-23,41.360001,41.360001,41.360001,41.360001,1910000,41.360001,sp500,0.00388349505137131
1958-01-24,41.709999,41.709999,41.709999,41.709999,2830000,41.709999,sp500,0.00846223383795386
1958-01-27,41.59,41.59,41.59,41.59,2320000,41.59,sp500,-0.0028769840056817
1958-01-28,41.630001,41.630001,41.630001,41.630001,2030000,41.630001,sp500,0.00096179370040872
1958-01-29,41.880001,41.880001,41.880001,41.880001,2220000,41.880001,sp500,0.00600528450623861
1958-01-30,41.68,41.68,41.68,41.68,2150000,41.68,sp500,-0.0047755729518727
1958-01-31,41.700001,41.700001,41.700001,41.700001,2030000,41.700001,sp500,0.000479870441458807
1958-02-03,42.040001,42.040001,42.040001,42.040001,2490000,42.040001,sp500,0.00815347702269831
1958-02-04,42.459999,42.459999,42.459999,42.459999,2970000,42.459999,sp500,0.00999043744076045
1958-02-05,42.189999,42.189999,42.189999,42.189999,2480000,42.189999,sp500,-0.00635892619780809
1958-02-06,42.099998,42.099998,42.099998,42.099998,2210000,42.099998,sp500,-0.00213323067393301
1958-02-07,41.73,41.73,41.73,41.73,2220000,41.73,sp500,-0.00878855148639202
1958-02-10,41.48,41.48,41.48,41.48,1900000,41.48,sp500,-0.00599089384136109
1958-02-11,41.110001,41.110001,41.110001,41.110001,2110000,41.110001,sp500,-0.00891993731918994
1958-02-12,40.93,40.93,40.93,40.93,2030000,40.93,sp500,-0.00437852093460167
1958-02-13,40.939999,40.939999,40.939999,40.939999,1880000,40.939999,sp500,0.000244295138040584
1958-02-14,41.330002,41.330002,41.330002,41.330002,2070000,41.330002,sp500,0.00952620931915504
1958-02-17,41.110001,41.110001,41.110001,41.110001,1700000,41.110001,sp500,-0.00532303385806765
1958-02-18,41.169998,41.169998,41.169998,41.169998,1680000,41.169998,sp500,0.00145942589493009
1958-02-19,41.150002,41.150002,41.150002,41.150002,2070000,41.150002,sp500,-0.000485693489710615
1958-02-20,40.91,40.91,40.91,40.91,2060000,40.91,sp500,-0.00583236909684726
1958-02-21,40.880001,40.880001,40.880001,40.880001,1700000,40.880001,sp500,-0.000733292593497859
1958-02-24,40.650002,40.650002,40.650002,40.650002,1570000,40.650002,sp500,-0.00562619849250978
1958-02-25,40.610001,40.610001,40.610001,40.610001,1920000,40.610001,sp500,-0.000984034391929511
1958-02-26,40.919998,40.919998,40.919998,40.919998,1880000,40.919998,sp500,0.00763351372485821
1958-02-27,40.68,40.68,40.68,40.68,1670000,40.68,sp500,-0.0058650540501004
1958-02-28,40.84,40.84,40.84,40.84,1580000,40.84,sp500,0.00393313667649964
1958-03-03,41.130001,41.130001,41.130001,41.130001,1810000,41.130001,sp500,0.00710090597453461
1958-03-04,41.349998,41.349998,41.349998,41.349998,2010000,41.349998,sp500,0.0053488206820127
1958-03-05,41.470001,41.470001,41.470001,41.470001,2020000,41.470001,sp500,0.00290212831449233
1958-03-06,42,42,42,42,2470000,42,sp500,0.0127802987031516
1958-03-07,42.07,42.07,42.07,42.07,2130000,42.07,sp500,0.00166666666666671
1958-03-10,42.209999,42.209999,42.209999,42.209999,1980000,42.209999,sp500,0.00332776325172346
1958-03-11,42.509998,42.509998,42.509998,42.509998,2640000,42.509998,sp500,0.00710729701746726
1958-03-12,42.41,42.41,42.41,42.41,2420000,42.41,sp500,-0.00235234073640767
1958-03-13,42.459999,42.459999,42.459999,42.459999,2830000,42.459999,sp500,0.00117894364536686
1958-03-14,42.330002,42.330002,42.330002,42.330002,2150000,42.330002,sp500,-0.00306163455161657
1958-03-17,42.040001,42.040001,42.040001,42.040001,2130000,42.040001,sp500,-0.0068509564445568
1958-03-18,41.889999,41.889999,41.889999,41.889999,2070000,41.889999,sp500,-0.00356807793605884
1958-03-19,42.09,42.09,42.09,42.09,2410000,42.09,sp500,0.00477443315288695
1958-03-20,42.110001,42.110001,42.110001,42.110001,2280000,42.110001,sp500,0.000475196008552947
1958-03-21,42.419998,42.419998,42.419998,42.419998,2430000,42.419998,sp500,0.00736160039511757
1958-03-24,42.580002,42.580002,42.580002,42.580002,2580000,42.580002,sp500,0.00377190022498342
1958-03-25,42.439999,42.439999,42.439999,42.439999,2210000,42.439999,sp500,-0.00328799890615317
1958-03-26,42.299999,42.299999,42.299999,42.299999,1990000,42.299999,sp500,-0.00329877481853857
1958-03-27,42.169998,42.169998,42.169998,42.169998,2140000,42.169998,sp500,-0.00307330976532649
1958-03-28,42.200001,42.200001,42.200001,42.200001,1930000,42.200001,sp500,0.000711477387312254
1958-03-31,42.099998,42.099998,42.099998,42.099998,2050000,42.099998,sp500,-0.0023697392803379
1958-04-01,41.93,41.93,41.93,41.93,2070000,41.93,sp500,-0.0040379574364825
1958-04-02,41.599998,41.599998,41.599998,41.599998,2390000,41.599998,sp500,-0.00787030765561647
1958-04-03,41.48,41.48,41.48,41.48,2130000,41.48,sp500,-0.00288456744637344
1958-04-07,41.330002,41.330002,41.330002,41.330002,2090000,41.330002,sp500,-0.00361615236258428
1958-04-08,41.43,41.43,41.43,41.43,2190000,41.43,sp500,0.00241950145562542
1958-04-09,41.650002,41.650002,41.650002,41.650002,2040000,41.650002,sp500,0.00531020999275889
1958-04-10,41.700001,41.700001,41.700001,41.700001,2e+06,41.700001,sp500,0.001200456124828
1958-04-11,41.740002,41.740002,41.740002,41.740002,2060000,41.740002,sp500,0.000959256571720468
1958-04-14,42,42,42,42,2180000,42,sp500,0.00622898868093014
1958-04-15,42.43,42.43,42.43,42.43,2590000,42.43,sp500,0.0102380952380952
1958-04-16,42.099998,42.099998,42.099998,42.099998,2240000,42.099998,sp500,-0.00777756304501531
1958-04-17,42.25,42.25,42.25,42.25,2500000,42.25,sp500,0.00356299304337271
1958-04-18,42.709999,42.709999,42.709999,42.709999,2700000,42.709999,sp500,0.0108875502958581
1958-04-21,42.93,42.93,42.93,42.93,2550000,42.93,sp500,0.00515104203116445
